r_cm,E_Vcm,alpha_invcm,phi_w
0.0211569,5838.78,13.2783,0.492053
0.0211668,5836.26,13.2478,0.491975
0.0211766,5833.73,13.2175,0.491898
0.0211865,5831.21,13.1872,0.491821
0.0211963,5828.69,13.157,0.491744
0.0212062,5826.17,13.1269,0.491667
0.021216,5823.66,13.0968,0.49159
0.0212259,5821.15,13.0669,0.491513
0.0212357,5818.64,13.037,0.491436
0.0212456,5816.13,13.0071,0.491359
0.0212554,5813.63,12.9774,0.491282
0.0212653,5811.12,12.9477,0.491205
0.0212751,5808.62,12.9181,0.491129
0.021285,5806.12,12.8885,0.491052
0.0212948,5803.63,12.8591,0.490975
0.0213047,5801.14,12.8297,0.490898
0.0213145,5798.65,12.8003,0.490822
0.0213244,5796.16,12.7711,0.490745
0.0213342,5793.67,12.7419,0.490669
0.0213441,5791.19,12.7128,0.490592
0.0213539,5788.71,12.6838,0.490516
0.0213638,5786.23,12.6548,0.490439
0.0213736,5783.75,12.6259,0.490363
0.0213835,5781.28,12.5971,0.490286
0.0213933,5778.81,12.5683,0.49021
0.0214032,5776.34,12.5397,0.490134
0.021413,5773.87,12.511,0.490057
0.0214229,5771.41,12.4825,0.489981
0.0214327,5768.94,12.454,0.489905
0.0214426,5766.48,12.4256,0.489829
0.0214524,5764.03,12.3973,0.489752
0.0214623,5761.57,12.369,0.489676
0.0214721,5759.12,12.3409,0.4896
0.021482,5756.67,12.3127,0.489524
0.0214918,5754.22,12.2847,0.489448
0.0215017,5751.77,12.2567,0.489372
0.0215115,5749.33,12.2288,0.489296
0.0215214,5746.89,12.2009,0.48922
0.0215312,5744.45,12.1732,0.489144
0.0215411,5742.01,12.1455,0.489069
0.0215509,5739.58,12.1178,0.488993
0.0215608,5737.15,12.0903,0.488917
0.0215706,5734.72,12.0628,0.488841
0.0215805,5732.29,12.0353,0.488766
0.0215903,5729.86,12.0079,0.48869
0.0216002,5727.44,11.9806,0.488614
0.02161,5725.02,11.9534,0.488539
0.0216199,5722.6,11.9263,0.488463
0.0216297,5720.19,11.8992,0.488388
0.0216396,5717.77,11.8721,0.488312
0.0216494,5715.36,11.8452,0.488237
0.0216593,5712.95,11.8183,0.488161
0.0216691,5710.55,11.7914,0.488086
